사용일자,호선명,역명,승차총승객수,하차총승객수,등록일자
20231107,안산선,한대앞,11432,11635,20231110
20231107,4호선,한성대입구(삼선교),16560,16152,20231110
20231107,9호선2~3단계,한성백제,3143,2873,20231110
20231107,2호선,한양대,16839,18690,20231110
20231107,분당선,한티,16942,18120,20231110
20231107,6호선,합정,14052,13851,20231110
20231107,2호선,합정,33015,34992,20231110
20231107,5호선,행당,9101,8055,20231110
20231107,경의선,행신,9078,9077,20231110
20231107,4호선,혜화,39737,39718,20231110
20231107,수인선,호구포,4548,4619,20231110
20231107,공항철도 1호선,홍대입구,12731,12766,20231110
20231107,경의선,홍대입구,1974,2390,20231110
20231107,2호선,홍대입구,65319,68758,20231110
20231107,3호선,홍제,20457,19706,20231110
20231107,우이신설선,화계,3919,3809,20231110
20231107,5호선,화곡,31927,29787,20231110
20231107,6호선,화랑대(서울여대입구),14698,11493,20231110
20231107,경부선,화서,9894,9503,20231110
20231107,경의선,화전,3535,3530,20231110
20231107,일산선,화정,18830,19198,20231110
20231107,중앙선,회기,30901,29884,20231110
20231107,경원선,회룡,14233,14015,20231110
20231107,4호선,회현(남대문시장),30550,31261,20231110
20231107,경의선,효창공원앞,3844,4154,20231110
20231107,6호선,효창공원앞,8792,8198,20231110
20231107,9호선,흑석(중앙대입구),11402,11707,20231110
