사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20230907,중앙선,양수,2165,2120,20230910
20230907,중앙선,양원,3595,3518,20230910
20230907,3호선,양재(서초구청),42081,46277,20230910
20230907,중앙선,양정,752,569,20230910
20230907,경원선,양주,8757,8179,20230910
20230907,2호선,양천구청,7929,8407,20230910
20230907,9호선,양천향교,11414,11703,20230910
20230907,5호선,양평,8528,8228,20230910
20230907,중앙선,양평,3112,3126,20230910
20230907,7호선,어린이대공원(세종대),20327,20874,20230910
20230907,수인선,어천,1344,1200,20230910
20230907,9호선2~3단계,언주,13150,13199,20230910
20230907,5호선,여의나루,15002,15922,20230910
20230907,5호선,여의도,32128,34642,20230910
20230907,9호선,여의도,32811,32427,20230910
20230907,경강선,여주,3198,2884,20230910
20230907,경인선,역곡,31490,31182,20230910
20230907,2호선,역삼,59402,67020,20230910
20230907,6호선,역촌,4386,5112,20230910
20230907,수인선,연수,5153,4993,20230910
20230907,3호선,연신내,37982,36175,20230910
20230907,9호선,염창,19809,19113,20230910
20230907,경부선,영등포,41350,42039,20230910
20230907,2호선,영등포구청,24252,25014,20230910
20230907,5호선,영등포구청,5187,5110,20230910
20230907,5호선,영등포시장,11720,11985,20230910
20230907,공항철도 1호선,영종,4389,4464,20230910
20230907,분당선,영통,10329,10230,20230910
20230907,3호선,오금,7529,6655,20230910
20230907,5호선,오금,4341,4395,20230910
20230907,경인선,오류동,13125,12063,20230910
20230907,분당선,오리,12722,10554,20230910
20230907,5호선,오목교(목동운동장앞),23697,25337,20230910
20230907,수인선,오목천,5531,4858,20230910
20230907,중앙선,오빈,322,340,20230910
20230907,경부선,오산,10807,11059,20230910
20230907,경부선,오산대,4576,4186,20230910
20230907,안산선,오이도,9194,9060,20230910
20230907,경원선,옥수,65,58,20230910
20230907,3호선,옥수,10022,10065,20230910
20230907,7호선,온수(성공회대입구),12192,11115,20230910
20230907,경인선,온수(성공회대입구),7480,7105,20230910
20230907,장항선,온양온천,4218,4403,20230910
20230907,5호선,올림픽공원(한국체대),5328,4593,20230910
20230907,9호선2~3단계,올림픽공원(한국체대),7939,7907,20230910
20230907,5호선,왕십리(성동구청),4889,5672,20230910
20230907,경원선,왕십리(성동구청),18332,18361,20230910
20230907,2호선,왕십리(성동구청),18151,15096,20230910
20230907,경원선,외대앞,11694,11679,20230910
20230907,2호선,용답,3343,3400,20230910
20230907,2호선,용두(동대문구청),2822,2788,20230910
20230907,7호선,용마산(용마폭포공원),6627,6562,20230910
20230907,중앙선,용문,2108,2037,20230910
20230907,경부선,용산,38710,39603,20230910
20230907,5호선,우장산,16826,16528,20230910
20230907,중앙선,운길산,715,733,20230910
20230907,공항철도 1호선,운서,9430,10014,20230910
20230907,경의선,운정,8327,7837,20230910
20230907,경의선,운천,8,5,20230910
20230907,일산선,원당,12676,12028,20230910
20230907,중앙선,원덕,375,362,20230910
20230907,수인선,원인재,4739,5034,20230910
20230907,서해선,원종,4311,4526,20230910
20230907,일산선,원흥,13072,12397,20230910
20230907,경원선,월계,8918,8343,20230910
20230907,6호선,월곡(동덕여대),14876,14321,20230910
20230907,수인선,월곶,3273,2995,20230910
20230907,6호선,월드컵경기장(성산),4788,4953,20230910
20230907,경의선,월롱,2917,2462,20230910
20230907,3호선,을지로3가,13247,13501,20230910
20230907,2호선,을지로3가,28050,28096,20230910
20230907,5호선,을지로4가,7510,7693,20230910
20230907,2호선,을지로4가,16270,16366,20230910
20230907,2호선,을지로입구,53822,55683,20230910
20230907,경원선,응봉,2197,1792,20230910
20230907,6호선,응암,19868,19530,20230910
20230907,경부선,의왕,10181,10036,20230910
20230907,경원선,의정부,19524,19909,20230910
20230907,2호선,이대,20230,22050,20230910
20230907,경강선,이매,1387,1212,20230910
20230907,분당선,이매,6500,6145,20230910
20230907,7호선,이수,17695,17201,20230910
20230907,경강선,이천,2879,3024,20230910
20230907,4호선,이촌(국립중앙박물관),9977,10839,20230910
20230907,경원선,이촌(국립중앙박물관),4659,3613,20230910
20230907,6호선,이태원,11816,12599,20230910
20230907,과천선,인덕원,27844,28382,20230910
20230907,경인선,인천,3944,3086,20230910
20230907,수인선,인천,1137,1797,20230910
20230907,공항철도 1호선,인천공항1터미널,13183,12103,20230910
20230907,공항철도 1호선,인천공항2터미널,6523,5476,20230910
20230907,수인선,인천논현,5941,6478,20230910
20230907,수인선,인하대,8675,8302,20230910
20230907,경의선,일산,11928,11873,20230910
20230907,3호선,일원,12937,12571,20230910
20230907,경의선,임진강,25,24,20230910
20230907,8호선,잠실(송파구청),16150,19093,20230910
20230907,2호선,잠실(송파구청),79499,80417,20230910
20230907,2호선,잠실나루,17511,16964,20230910
20230907,2호선,잠실새내,25977,25632,20230910
20230907,3호선,잠원,5924,5604,20230910
20230907,7호선,장승배기,10392,10159,20230910
20230907,7호선,장암,2937,1236,20230910
20230907,8호선,장지,18825,17243,20230910
20230907,5호선,장한평,21254,21074,20230910
20230907,우이신설선,정릉,5459,5038,20230910
20230907,일산선,정발산,7762,7958,20230910
20230907,과천선,정부과천청사,12688,13351,20230910
20230907,안산선,정왕,11254,11566,20230910
20230907,분당선,정자,20605,21584,20230910
20230907,1호선,제기동,19103,19422,20230910
20230907,경인선,제물포,12547,11829,20230910
20230907,1호선,종각,44732,44556,20230910
20230907,5호선,종로3가,15477,15187,20230910
20230907,3호선,종로3가,12394,14131,20230910
20230907,1호선,종로3가,28877,26109,20230910
20230907,1호선,종로5가,27258,26939,20230910
20230907,9호선2~3단계,종합운동장,5209,5438,20230910
20230907,2호선,종합운동장,20756,23577,20230910
20230907,경인선,주안,21398,19445,20230910
20230907,일산선,주엽,10809,11019,20230910
20230907,분당선,죽전,16174,17853,20230910
20230907,7호선,중계,16986,15547,20230910
20230907,7호선,중곡,12464,11723,20230910
20230907,경인선,중동,10335,9633,20230910
20230907,중앙선,중랑,6428,6149,20230910
20230907,안산선,중앙,20130,21284,20230910
20230907,9호선2~3단계,중앙보훈병원,14082,12445,20230910
20230907,7호선,중화,11871,11683,20230910
20230907,9호선,증미,9188,8878,20230910
20230907,6호선,증산(명지대앞),10963,10897,20230910
20230907,3호선,지축,7661,7653,20230910
20230907,중앙선,지평,83,95,20230910
20230907,경원선,지행,7276,7265,20230910
20230907,경부선,직산,1007,957,20230910
20230907,경부선,진위,1967,1736,20230910
20230907,4호선,창동,27841,29644,20230910
20230907,경원선,창동,0,0,20230910
20230907,6호선,창신,4258,3710,20230910
20230907,경춘선,천마산,1842,1722,20230910
20230907,경부선,천안,8648,7187,20230910
20230907,7호선,천왕,13109,12479,20230910
20230907,5호선,천호(풍납토성),20109,20088,20230910
20230907,8호선,천호(풍납토성),15987,18337,20230910
20230907,7호선,철산,23661,24242,20230910
20230907,5호선,청구,4389,4190,20230910
20230907,6호선,청구,4367,4394,20230910
20230907,7호선,청담,21940,24116,20230910
20230907,공항철도 1호선,청라국제도시,8134,7732,20230910
20230907,경원선,청량리(서울시립대입구),17778,18378,20230910
